# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   8.28382E-14      293.00  1
 4.10000E-05   4.12457E-05   1.02695E-04   3.96713E-05   2.35743E-13     1868.71  1
 6.10000E-05   7.10423E-05   1.07936E-04   5.56809E-05   3.71235E-13     2484.76  1
 8.10000E-05   1.05173E-04   1.08514E-04   5.96961E-05   4.96342E-13     2630.84  1
 1.01000E-04   1.32942E-04   1.08368E-04   6.07577E-05   6.11234E-13     2717.45  1
 1.21000E-04   1.60963E-04   1.08617E-04   6.15782E-05   5.82180E-13     2774.95  0
 1.41000E-04   1.63702E-04   1.04967E-04   6.15151E-05   5.41903E-13     2402.33  0
 1.61000E-04   1.65077E-04   1.01161E-04   6.11499E-05   5.02089E-13     2266.34  0
 1.81000E-04   1.65396E-04   9.55177E-05   6.04674E-05   4.63763E-13     2157.09  0
 2.01000E-04   1.63055E-04   8.76851E-05   5.95146E-05   3.88479E-13     2051.98  0
 2.21000E-04   1.64276E-04   8.26517E-05   6.46925E-05   3.62314E-13     1921.88  0
 2.41000E-04   1.64124E-04   7.58787E-05   6.53990E-05   3.36997E-13     1832.62  0
 2.61000E-04   1.63790E-04   6.92154E-05   6.54341E-05   3.12912E-13     1769.68  0
 2.81000E-04   1.63399E-04   6.30714E-05   6.51834E-05   2.89018E-13     1725.17  0
 3.01000E-04   1.63054E-04   5.72260E-05   6.48154E-05   2.64750E-13     1692.61  0
 3.21000E-04   1.62916E-04   5.17409E-05   6.44081E-05   2.40206E-13     1667.89  0
 3.41000E-04   1.62808E-04   4.72761E-05   6.40154E-05   2.15497E-13     1649.40  0
 3.61000E-04   1.62677E-04   4.29234E-05   6.37557E-05   1.91174E-13     1636.31  0
 3.81000E-04   1.62526E-04   3.88300E-05   6.36990E-05   1.67884E-13     1627.66  0
 4.01000E-04   1.62342E-04   3.53964E-05   6.36331E-05   1.45703E-13     1623.27  0
 4.21000E-04   1.62123E-04   3.28878E-05   6.35576E-05   1.24753E-13     1622.27  0
 4.41000E-04   1.61841E-04   2.93855E-05   6.34677E-05   1.04932E-13     1621.11  0
 4.61000E-04   1.61489E-04   2.75292E-05   6.33586E-05   8.61801E-14     1619.52  0
 4.81000E-04   1.60278E-04   2.41563E-05   6.32248E-05   6.88449E-14     1617.42  0
 5.01000E-04   1.52205E-04   2.25474E-05   6.30549E-05   5.27451E-14     1614.77  0
 5.21000E-04   1.50523E-04   1.93390E-05   6.28406E-05   3.81573E-14     1611.47  0
 5.41000E-04   1.40320E-04   1.78049E-05   6.25731E-05   2.55783E-14     1607.50  0
 5.61000E-04   1.26333E-04   1.47678E-05   6.22157E-05   1.52210E-14     1602.61  0
 5.81000E-04   9.84896E-05   1.37306E-05   6.17655E-05   7.71090E-15     1596.89  0
 6.01000E-04   6.86643E-05   1.25528E-05   5.29214E-05   1.58693E-15     1589.17  0
 6.21000E-04   4.36746E-05   7.76863E-06   4.36105E-05   7.70558E-14     1580.18  1
 6.41000E-04   4.15437E-05   1.03761E-04   4.20818E-05   2.41099E-13     1860.14  1
 6.61000E-04   7.70738E-05   1.08426E-04   5.78366E-05   3.83751E-13     2513.95  1
 6.81000E-04   1.08164E-04   1.09100E-04   6.19349E-05   5.24812E-13     2775.57  1
 7.01000E-04   1.37720E-04   1.09521E-04   6.39130E-05   6.63455E-13     2803.58  1
 7.21000E-04   1.67285E-04   1.09903E-04   6.62657E-05   7.99158E-13     2841.96  1
 7.41000E-04   1.97209E-04   1.10121E-04   6.79951E-05   9.35993E-13     2867.36  1
 7.61000E-04   2.26978E-04   1.10145E-04   7.49172E-05   1.07128E-12     2864.32  1
 7.81000E-04   2.56625E-04   1.10141E-04   7.73286E-05   1.19967E-12     2834.67  1
 8.01000E-04   2.84670E-04   1.09400E-04   7.90313E-05   1.34565E-12     2764.56  1
 8.21000E-04   3.13442E-04   1.09198E-04   8.22451E-05   1.45558E-12     2758.84  1
 8.41000E-04   3.31321E-04   1.09017E-04   8.54603E-05   1.55950E-12     2773.47  1
